Comuna,Nro.Voto,Nro Región,Votos
CURARREHUE,7.0,9,270
CUREPTO,1.0,7,887
CUREPTO,2.0,7,1062
CUREPTO,3.0,7,842
CUREPTO,4.0,7,630
CUREPTO,5.0,7,35
CUREPTO,6.0,7,191
CUREPTO,7.0,7,385
CURICO,1.0,7,12532
CURICO,2.0,7,17171
CURICO,3.0,7,6936
CURICO,4.0,7,7992
CURICO,5.0,7,642
CURICO,6.0,7,4656
CURICO,7.0,7,7855
DALCAHUE,1.0,10,919
DALCAHUE,2.0,10,1086
DALCAHUE,3.0,10,709
DALCAHUE,4.0,10,488
DALCAHUE,5.0,10,67
DALCAHUE,6.0,10,259
DALCAHUE,7.0,10,796
DIEGO DE ALMAGRO,1.0,3,1085
DIEGO DE ALMAGRO,2.0,3,561
DIEGO DE ALMAGRO,3.0,3,987
DIEGO DE ALMAGRO,4.0,3,192
DIEGO DE ALMAGRO,5.0,3,73
DIEGO DE ALMAGRO,6.0,3,244
DIEGO DE ALMAGRO,7.0,3,1486
DOÑIHUE,1.0,6,2293
DOÑIHUE,2.0,6,1975
DOÑIHUE,3.0,6,1009
DOÑIHUE,4.0,6,1085
DOÑIHUE,5.0,6,93
DOÑIHUE,6.0,6,760
DOÑIHUE,7.0,6,1498
EL BOSQUE,1.0,13,18776
EL BOSQUE,2.0,13,13459
EL BOSQUE,3.0,13,7127
EL BOSQUE,4.0,13,6539
EL BOSQUE,5.0,13,1207
EL BOSQUE,6.0,13,7734
EL BOSQUE,7.0,13,6200
EL CARMEN,1.0,16,567
EL CARMEN,2.0,16,2331
EL CARMEN,3.0,16,926
EL CARMEN,4.0,16,649
EL CARMEN,5.0,16,25
EL CARMEN,6.0,16,209
EL CARMEN,7.0,16,395
EL MONTE,1.0,13,3596
EL MONTE,2.0,13,3130
EL MONTE,3.0,13,1764
EL MONTE,4.0,13,1458
EL MONTE,5.0,13,204
EL MONTE,6.0,13,1289
EL MONTE,7.0,13,1890
EL QUISCO,1.0,5,2406
EL QUISCO,2.0,5,2027
EL QUISCO,3.0,5,815
EL QUISCO,4.0,5,1022
EL QUISCO,5.0,5,123
EL QUISCO,6.0,5,677
EL QUISCO,7.0,5,693
EL TABO,1.0,5,2224
EL TABO,2.0,5,1791
EL TABO,3.0,5,840
EL TABO,4.0,5,799
EL TABO,5.0,5,141
EL TABO,6.0,5,759
EL TABO,7.0,5,535
EMPEDRADO,1.0,7,123
EMPEDRADO,2.0,7,855
EMPEDRADO,3.0,7,235
EMPEDRADO,4.0,7,194
EMPEDRADO,5.0,7,6
EMPEDRADO,6.0,7,94
EMPEDRADO,7.0,7,300
ERCILLA,1.0,9,485
ERCILLA,2.0,9,1490
ERCILLA,3.0,9,322
ERCILLA,4.0,9,211
ERCILLA,5.0,9,50
ERCILLA,6.0,9,182
ERCILLA,7.0,9,179
ESTACION CENTRAL,1.0,13,18230
ESTACION CENTRAL,2.0,13,12049
ESTACION CENTRAL,3.0,13,5736
ESTACION CENTRAL,4.0,13,6345
ESTACION CENTRAL,5.0,13,1163
ESTACION CENTRAL,6.0,13,5491
ESTACION CENTRAL,7.0,13,3632
FLORIDA,1.0,8,623
FLORIDA,2.0,8,1562
FLORIDA,3.0,8,804
FLORIDA,4.0,8,606
FLORIDA,5.0,8,55
FLORIDA,6.0,8,317
FLORIDA,7.0,8,675
FREIRE,1.0,9,1381
FREIRE,2.0,9,3631
FREIRE,3.0,9,1630
FREIRE,4.0,9,911
FREIRE,5.0,9,126
FREIRE,6.0,9,571
FREIRE,7.0,9,950
FREIRINA,1.0,3,425
FREIRINA,2.0,3,305
FREIRINA,3.0,3,1168
FREIRINA,4.0,3,135
FREIRINA,5.0,3,22
FREIRINA,6.0,3,69
FREIRINA,7.0,3,512
FRESIA,1.0,10,839
FRESIA,2.0,10,2052
FRESIA,3.0,10,1178
FRESIA,4.0,10,458
FRESIA,5.0,10,44
FRESIA,6.0,10,211
FRESIA,7.0,10,491
FRUTILLAR,1.0,10,1351
FRUTILLAR,2.0,10,3260
FRUTILLAR,3.0,10,1329
FRUTILLAR,4.0,10,786
FRUTILLAR,5.0,10,60
FRUTILLAR,6.0,10,375
FRUTILLAR,7.0,10,1208
FUTALEUFU,1.0,10,208
FUTALEUFU,2.0,10,435
FUTALEUFU,3.0,10,155
FUTALEUFU,4.0,10,150
FUTALEUFU,5.0,10,15
FUTALEUFU,6.0,10,34
FUTALEUFU,7.0,10,60
FUTRONO,1.0,14,1008
FUTRONO,2.0,14,2803
FUTRONO,3.0,14,890
FUTRONO,4.0,14,692
FUTRONO,5.0,14,74
FUTRONO,6.0,14,244
FUTRONO,7.0,14,806
GALVARINO,1.0,9,880
GALVARINO,2.0,9,1802
GALVARINO,3.0,9,1134
GALVARINO,4.0,9,364
GALVARINO,5.0,9,73
GALVARINO,6.0,9,376
GALVARINO,7.0,9,473
GENERAL LAGOS,1.0,15,24
GENERAL LAGOS,2.0,15,140
GENERAL LAGOS,3.0,15,39
GENERAL LAGOS,4.0,15,26
GENERAL LAGOS,5.0,15,5
GENERAL LAGOS,6.0,15,26
GENERAL LAGOS,7.0,15,239
GORBEA,1.0,9,794
GORBEA,2.0,9,3155
GORBEA,3.0,9,841
GORBEA,4.0,9,805
GORBEA,5.0,9,40
GORBEA,6.0,9,228
GORBEA,7.0,9,663
GRANEROS,1.0,6,3724
GRANEROS,2.0,6,2891
GRANEROS,3.0,6,1517
GRANEROS,4.0,6,1479
GRANEROS,5.0,6,153
GRANEROS,6.0,6,1345
GRANEROS,7.0,6,2238
GUAITECAS,1.0,11,129
GUAITECAS,2.0,11,150
GUAITECAS,3.0,11,80
GUAITECAS,4.0,11,43
GUAITECAS,5.0,11,4
GUAITECAS,6.0,11,18
GUAITECAS,7.0,11,68
HIJUELAS,1.0,5,1454
HIJUELAS,2.0,5,1725
HIJUELAS,3.0,5,762
HIJUELAS,4.0,5,778
HIJUELAS,5.0,5,59
HIJUELAS,6.0,5,644
HIJUELAS,7.0,5,1894
HUALAIHUE,1.0,10,628
HUALAIHUE,2.0,10,1041
HUALAIHUE,3.0,10,600
HUALAIHUE,4.0,10,389
HUALAIHUE,5.0,10,48
HUALAIHUE,6.0,10,223
HUALAIHUE,7.0,10,678
HUALAÑE,1.0,7,817
HUALAÑE,2.0,7,992
HUALAÑE,3.0,7,1017
HUALAÑE,4.0,7,660
HUALAÑE,5.0,7,40
HUALAÑE,6.0,7,259
HUALAÑE,7.0,7,366
HUALPEN,1.0,8,8184
HUALPEN,2.0,8,9966
HUALPEN,3.0,8,4598
HUALPEN,4.0,8,3718
HUALPEN,5.0,8,523
HUALPEN,6.0,8,3421
HUALPEN,7.0,8,8834
HUALQUI,1.0,8,1453
HUALQUI,2.0,8,2349
HUALQUI,3.0,8,1081
HUALQUI,4.0,8,835
HUALQUI,5.0,8,94
HUALQUI,6.0,8,858
HUALQUI,7.0,8,1844
HUARA,1.0,1,207
HUARA,2.0,1,479
HUARA,3.0,1,157
HUARA,4.0,1,88
HUARA,5.0,1,12
HUARA,6.0,1,78
HUARA,7.0,1,667
HUASCO,1.0,3,641
HUASCO,2.0,3,538
HUASCO,3.0,3,1309
HUASCO,4.0,3,196
HUASCO,5.0,3,58
HUASCO,6.0,3,193
HUASCO,7.0,3,930
HUECHURABA,1.0,13,11004
HUECHURABA,2.0,13,9452
HUECHURABA,3.0,13,4524
HUECHURABA,4.0,13,6760
HUECHURABA,5.0,13,771
HUECHURABA,6.0,13,4067
HUECHURABA,7.0,13,3205
ILLAPEL,1.0,4,3146
ILLAPEL,2.0,4,1953
ILLAPEL,3.0,4,2104
ILLAPEL,4.0,4,1061
ILLAPEL,5.0,4,150
ILLAPEL,6.0,4,746
ILLAPEL,7.0,4,2738
INDEPENDENCIA,1.0,13,11569
INDEPENDENCIA,2.0,13,8327
INDEPENDENCIA,3.0,13,3414
INDEPENDENCIA,4.0,13,4646
INDEPENDENCIA,5.0,13,749
INDEPENDENCIA,6.0,13,2802
INDEPENDENCIA,7.0,13,2076
IQUIQUE,1.0,1,15561
IQUIQUE,2.0,1,24113
IQUIQUE,3.0,1,6038
IQUIQUE,4.0,1,6581
IQUIQUE,5.0,1,976
IQUIQUE,6.0,1,4687
IQUIQUE,7.0,1,15802
ISLA DE MAIPO,1.0,13,3466
ISLA DE MAIPO,2.0,13,3638
ISLA DE MAIPO,3.0,13,1827
ISLA DE MAIPO,4.0,13,1733
ISLA DE MAIPO,5.0,13,199
ISLA DE MAIPO,6.0,13,1367
ISLA DE MAIPO,7.0,13,1505
ISLA DE PASCUA,1.0,5,972
ISLA DE PASCUA,2.0,5,581
ISLA DE PASCUA,3.0,5,352
ISLA DE PASCUA,4.0,5,314
ISLA DE PASCUA,5.0,5,41
ISLA DE PASCUA,6.0,5,323
ISLA DE PASCUA,7.0,5,311
JUAN FERNANDEZ,1.0,5,144
JUAN FERNANDEZ,2.0,5,61
JUAN FERNANDEZ,3.0,5,37
JUAN FERNANDEZ,4.0,5,42
JUAN FERNANDEZ,5.0,5,5
JUAN FERNANDEZ,6.0,5,22
JUAN FERNANDEZ,7.0,5,6
LA CISTERNA,1.0,13,13048
LA CISTERNA,2.0,13,9830
LA CISTERNA,3.0,13,4101
LA CISTERNA,4.0,13,5577
LA CISTERNA,5.0,13,733
LA CISTERNA,6.0,13,3410
LA CISTERNA,7.0,13,2571
LA CRUZ,1.0,5,2124
LA CRUZ,2.0,5,2639
LA CRUZ,3.0,5,808
LA CRUZ,4.0,5,1249
LA CRUZ,5.0,5,100
LA CRUZ,6.0,5,646
LA CRUZ,7.0,5,1616
LA ESTRELLA,1.0,6,406
LA ESTRELLA,2.0,6,514
LA ESTRELLA,3.0,6,326
LA ESTRELLA,4.0,6,301
LA ESTRELLA,5.0,6,19
LA ESTRELLA,6.0,6,113
LA ESTRELLA,7.0,6,128
LA FLORIDA,1.0,13,58277
